                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.79291,                  1.156,                0.77467,                 1.0526,                 0.7224,                   0.56,                0.65551,                0.39969,                0.67997,                0.51033,                0.61037,                0.38735,                 1.2122,                 3.1391,                 1.3357,                 1.3827,              0.0014555,              0.0014555,              0.0014555
                     25,                0.75358,                 1.2888,                0.78608,                 1.0293,                0.87306,                    0.6,                0.70602,                0.47183,                0.81461,                   0.56,                0.62292,                0.41552,                 1.3036,                  3.518,                 1.2291,                 1.4432,              0.0014307,              0.0014307,              0.0014307
                     26,                0.71046,                 1.1535,                0.71447,                 1.0178,                0.82405,                   0.64,                0.70173,                 0.4897,                0.77255,                    0.6,                0.57363,                0.42882,                 1.0811,                 3.2291,                 1.3086,                 1.2798,               0.001406,               0.001406,               0.001406
                     27,                0.70505,                 1.2249,                0.76057,                 1.0201,                  0.702,                   0.76,                0.71899,                  0.469,                0.74793,                   0.64,                0.63912,                0.48646,                  1.155,                 2.6749,                 1.2066,                 1.2997,              0.0013813,              0.0013813,              0.0013813
                     28,                0.65075,                 1.1196,                0.70526,                0.98631,                0.65387,                0.68009,                 0.6962,                0.49728,                0.61565,                0.64075,                0.63441,                0.47295,                 1.0102,                 2.5297,                 1.2183,                 1.2084,              0.0013565,              0.0013565,              0.0013565
                     29,                0.64499,                0.98962,                0.70833,                0.99388,                 0.7786,                    0.6,                0.67503,                0.40176,                0.69735,                    0.6,                0.61046,                0.40833,                  1.201,                 2.5998,                   1.45,                 1.3773,              0.0013318,              0.0013318,              0.0013318
                     30,                 0.6567,                  1.101,                0.64431,                 0.9941,                0.58713,                   0.64,                0.64394,                0.42349,                0.46318,                    0.6,                0.55234,                0.36712,                 1.1518,                  2.798,                 1.3764,                 1.3235,               0.001307,               0.001307,               0.001307
                     31,                0.64788,                 1.0433,                 0.6763,                0.99637,                0.71275,                   0.52,                 0.6307,                0.40865,                0.72513,                   0.52,                 0.6188,                0.34516,                 1.2593,                 3.3332,                 1.4632,                 1.4782,              0.0012822,              0.0012822,              0.0012822
                     32,                0.65059,                 1.0837,                0.66526,                0.97724,                0.83108,                   0.48,                0.68212,                0.42414,                0.83108,                   0.48,                0.68139,                0.36561,                 1.2961,                 3.3117,                 1.2504,                 1.3934,              0.0012575,              0.0012575,              0.0012575
                     33,                0.64656,                 1.1067,                0.65471,                0.98975,                0.65151,                   0.52,                0.54147,                0.32469,                0.59974,                   0.48,                0.48405,                0.33463,                 1.2888,                 4.0731,                 1.5743,                 1.4317,              0.0012328,              0.0012328,              0.0012328
                     34,                0.60598,                 0.9782,                0.60764,                0.97115,                0.74692,                0.59064,                0.60716,                0.35411,                0.69694,                0.55224,                0.52274,                0.34855,                  1.545,                 3.8618,                 1.3716,                 1.7549,               0.001208,               0.001208,               0.001208
                     35,                0.61774,                 1.0376,                0.60579,                0.96281,                0.69519,                   0.48,                0.59274,                0.35504,                0.57913,                    0.4,                0.46153,                0.34199,                 1.3397,                 3.8666,                 1.3719,                 1.5401,              0.0011833,              0.0011833,              0.0011833
                     36,                0.60809,                0.99804,                0.61945,                0.95696,                0.70386,                   0.68,                0.66814,                0.49586,                0.66164,                   0.64,                0.58733,                0.42974,                  1.047,                 3.3096,                 1.1889,                  1.225,              0.0011585,              0.0011585,              0.0011585
                     37,                0.59912,                0.93982,                0.57377,                0.96139,                0.71715,                0.71024,                0.71384,                0.53411,                0.67752,                0.67255,                0.61138,                0.44423,                 0.9909,                 3.4965,                 1.1286,                 1.2023,              0.0011337,              0.0011337,              0.0011337
                     38,                0.60744,                0.94815,                0.58235,                0.96507,                0.70353,                   0.76,                0.74247,                0.53267,                0.61257,                0.63269,                0.65522,                 0.4827,                 1.0193,                 2.7319,                 1.1131,                   1.17,               0.001109,               0.001109,               0.001109
                     39,                 0.5935,                0.98587,                0.57961,                0.95843,                0.63529,                0.83622,                0.73434,                0.50482,                0.85209,                   0.52,                0.66474,                0.49456,                 1.1678,                 3.0523,                 1.0702,                 1.2431,              0.0010842,              0.0010842,              0.0010842
                     40,                0.58926,                0.96951,                0.55154,                0.94001,                0.82466,                0.75279,                0.83786,                0.59798,                0.69392,                0.81648,                0.77151,                0.54656,                 1.0301,                 2.5223,                0.91797,                 1.1617,              0.0010595,              0.0010595,              0.0010595
                     41,                0.56527,                0.89673,                0.53453,                0.95699,                0.84758,                0.66776,                0.75954,                0.54513,                0.72754,                   0.68,                0.71127,                0.51045,                 1.0201,                 2.8418,                 1.0633,                 1.1526,              0.0010347,              0.0010347,              0.0010347
                     42,                0.55358,                0.90461,                0.54397,                0.96523,                 0.8319,                    0.6,                0.66935,                0.47839,                0.77249,                   0.56,                   0.64,                0.47086,                 1.0161,                 3.0753,                 1.3183,                 1.1682,                0.00101,                0.00101,                0.00101
                     43,                0.54109,                0.88621,                0.52143,                0.93958,                0.78115,                0.71409,                0.73029,                0.53468,                0.73865,                0.67838,                0.67806,                0.49829,                0.97215,                  3.221,                 1.1644,                 1.1712,             0.00098525,             0.00098525,             0.00098525
                     44,                0.58292,                0.88606,                0.53518,                0.94781,                0.73933,                    0.6,                0.69388,                 0.4785,                0.81457,                   0.56,                0.69376,                0.49636,                 1.0352,                 3.2712,                  1.169,                 1.2477,              0.0009605,              0.0009605,              0.0009605
                     45,                0.53229,                0.79781,                0.50314,                0.94654,                0.82756,                    0.6,                0.70918,                0.50249,                0.69367,                    0.6,                0.68224,                0.48233,                0.97377,                 3.2597,                 1.1219,                 1.2222,             0.00093575,             0.00093575,             0.00093575
                     46,                0.54068,                0.87046,                0.50113,                0.94075,                0.82264,                   0.64,                0.69162,                0.46344,                0.82928,                0.58346,                0.66144,                0.46201,                  1.021,                 3.1727,                 1.4042,                 1.2404,               0.000911,               0.000911,               0.000911
                     47,                0.53612,                0.81614,                0.47811,                0.93364,                0.84609,                   0.44,                0.55821,                0.34874,                0.59716,                    0.6,                 0.5645,                0.35927,                 1.2806,                 3.1422,                 1.5733,                 1.5055,             0.00088625,             0.00088625,             0.00088625
                     48,                 0.5301,                0.85999,                0.50877,                0.91625,                0.83279,                  0.797,                0.79344,                0.55065,                0.79113,                0.75762,                0.75067,                 0.5239,                 1.0677,                 2.7881,                0.95863,                 1.2669,              0.0008615,              0.0008615,              0.0008615
                     49,                0.52784,                 0.8465,                0.52525,                0.93392,                0.77258,                   0.72,                0.75024,                  0.555,                0.77258,                   0.72,                0.75652,                0.53053,                 1.0196,                 2.8301,                0.98627,                 1.2143,             0.00083675,             0.00083675,             0.00083675
                     50,                0.52293,                0.82699,                0.48393,                0.92175,                0.68057,                0.68185,                0.67915,                0.52633,                0.64177,                0.64511,                0.62906,                0.47643,                0.96134,                 3.0036,                 1.1457,                 1.1687,               0.000812,               0.000812,               0.000812
                     51,                0.51245,                0.86603,                0.49257,                0.92955,                0.69417,                   0.76,                0.74356,                 0.5019,                0.65692,                   0.72,                0.69179,                0.49945,                 1.0119,                 3.0699,                 1.0852,                 1.1756,             0.00078725,             0.00078725,             0.00078725
                     52,                0.49607,                0.79539,                0.47565,                0.92317,                0.64933,                   0.76,                0.69612,                  0.409,                0.61516,                   0.72,                0.65395,                0.42046,                 1.2197,                 3.0394,                 1.1275,                 1.4401,              0.0007625,              0.0007625,              0.0007625
                     53,                0.50295,                   0.83,                0.47135,                0.92211,                0.54576,                0.86529,                0.69629,                0.48687,                0.52052,                0.82529,                0.61698,                0.42503,                 1.1621,                 3.9317,                0.96391,                 1.3982,             0.00073775,             0.00073775,             0.00073775
                     54,                0.49542,                0.75643,                0.45673,                0.92083,                 0.7674,                   0.68,                0.70741,                0.50892,                0.67478,                    0.6,                0.62853,                0.45794,                 1.1334,                 3.8017,                 1.0214,                 1.3517,               0.000713,               0.000713,               0.000713
                     55,                0.48455,                 0.7296,                0.43934,                0.91796,                 0.7818,                0.71671,                 0.6924,                0.48512,                0.69499,                0.63809,                0.64193,                0.45762,                 1.0741,                  3.538,                 1.0987,                 1.2712,             0.00068825,             0.00068825,             0.00068825
                     56,                0.46741,                0.80444,                0.43514,                0.92493,                0.82062,                0.54946,                0.67989,                0.47618,                0.63533,                    0.6,                0.61666,                0.44212,                 1.0855,                 3.3248,                 1.2971,                 1.2756,              0.0006635,              0.0006635,              0.0006635
                     57,                0.48579,                0.75975,                0.45858,                0.91291,                0.64062,                   0.64,                0.68486,                0.47908,                0.61459,                    0.6,                0.61355,                0.43548,                 1.0209,                 3.2368,                 1.4873,                 1.1983,             0.00063875,             0.00063875,             0.00063875
                     58,                0.48492,                0.77012,                0.42655,                0.91825,                0.55685,                0.60327,                0.59865,                0.40874,                0.55813,                 0.6065,                0.54835,                0.38534,                 1.1584,                 3.0615,                 1.5552,                 1.3419,               0.000614,               0.000614,               0.000614
                     59,                0.48745,                0.77143,                0.44768,                0.92831,                0.68265,                0.77472,                0.68967,                 0.4686,                0.64985,                0.74272,                0.64072,                0.45805,                 1.1741,                 3.0208,                  1.155,                 1.3762,             0.00058925,             0.00058925,             0.00058925
                     60,                0.48468,                0.81987,                0.42373,                0.91405,                0.66868,                   0.68,                0.67497,                 0.4728,                0.63151,                   0.76,                0.66148,                0.45452,                 1.2168,                 3.1847,                 1.0486,                 1.4349,              0.0005645,              0.0005645,              0.0005645
                     61,                0.44523,                0.71713,                0.41106,                0.90921,                0.70646,                   0.72,                0.73681,                0.51819,                 0.6259,                   0.64,                0.67011,                0.50171,                  1.095,                 3.1888,                0.98411,                  1.344,             0.00053975,             0.00053975,             0.00053975
                     62,                0.44613,                0.68673,                0.40466,                0.89917,                0.85942,                   0.56,                0.65434,                0.48129,                0.79344,                   0.52,                0.65597,                0.46852,                 1.1045,                 3.2312,                 1.0887,                 1.2967,               0.000515,               0.000515,               0.000515
                     63,                0.45523,                0.71978,                0.41714,                0.89826,                0.68546,                   0.68,                0.68408,                0.49844,                0.60671,                   0.76,                 0.6667,                0.46851,                 1.1072,                 3.1659,                 1.1681,                 1.3083,             0.00049025,             0.00049025,             0.00049025
