                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1917,                0.91474,                 1.3914,                0.73688,                0.61792,                0.70213,                0.40607,                 1.4837,                 1.2743,                 1.6021,              0.0015916,              0.0015916,              0.0015916
                     36,                 1.1791,                0.91147,                  1.383,                0.65954,                0.58019,                0.62508,                 0.3455,                 1.5719,                 1.3139,                  1.743,              0.0015793,              0.0015793,              0.0015793
                     37,                 1.2005,                0.93098,                   1.41,                0.75842,                0.59198,                0.68772,                0.39501,                 1.5231,                 1.3019,                 1.6658,              0.0015669,              0.0015669,              0.0015669
                     38,                 1.1501,                0.84563,                 1.3621,                0.66487,                0.55681,                0.60366,                0.34567,                 1.5909,                 1.5112,                 1.7227,              0.0015545,              0.0015545,              0.0015545
                     39,                 1.1603,                0.89605,                   1.38,                0.66922,                0.57075,                0.61744,                0.35493,                 1.5363,                 1.3604,                 1.6856,              0.0015421,              0.0015421,              0.0015421
                     40,                 1.1358,                0.84314,                 1.3498,                0.73469,                 0.5967,                0.67389,                0.39807,                 1.4889,                 1.3117,                 1.6223,              0.0015298,              0.0015298,              0.0015298
                     41,                 1.1677,                0.88543,                 1.3729,                0.83062,                0.52123,                0.65079,                 0.3825,                 1.4743,                 1.4137,                 1.6035,              0.0015174,              0.0015174,              0.0015174
                     42,                 1.1179,                0.83838,                 1.3448,                0.76577,                0.53538,                0.65073,                0.38335,                 1.4947,                 1.3684,                  1.684,               0.001505,               0.001505,               0.001505
                     43,                 1.1207,                0.83919,                 1.3444,                0.66804,                0.59198,                0.66173,                0.38569,                 1.5179,                  1.303,                 1.6921,              0.0014926,              0.0014926,              0.0014926
                     44,                 1.1087,                0.84308,                 1.3438,                0.68753,                0.66038,                0.70202,                0.40436,                 1.5122,                 1.2278,                 1.6794,              0.0014803,              0.0014803,              0.0014803
                     45,                 1.1193,                0.84579,                 1.3316,                0.71303,                0.59198,                0.67379,                0.40003,                 1.4537,                 1.2853,                 1.6474,              0.0014679,              0.0014679,              0.0014679
